姓名,分类,主分类,可信度,出现次数,相关出现,涉及书数,涉及章节数,主要书目,线索
华盛顿,神交引用,神交引用,72,2,2,1,1,李敖自传与回忆(2),杂志
朱熹,神交引用,神交引用,72,2,2,1,1,李敖自传与回忆(2),政府、思想
罗素,神交引用,神交引用,72,2,2,1,2,李敖自传与回忆(2),总统、见、主义
任卓宣,感化人员 / 公共论战,感化人员,71,3,3,1,3,李敖自传与回忆(3),国民党、政治、读
小蕾,情感 / 称谓待考 / 见面,情感,70,3,3,1,3,李敖自传与回忆(3),老师、情人、小情人、研究、警总
周桐雨,见面,见面,70,2,2,1,1,李敖自传与回忆(2),学生、同学、弟弟、家里、太太
徐公起,学术,学术,70,2,2,1,2,李敖自传与回忆(2),送我、先生
徐国材,姻亲,姻亲,70,2,2,1,1,李敖自传与回忆(2),爸爸、妈妈、嫁给、大学
张桂贞,亲属,亲属,69,2,2,1,1,李敖自传与回忆(2),学生、爸爸、妈妈、离婚、女士
崔积泽,同案狱友 / 朋友,同案狱友,68,3,3,1,1,李敖自传与回忆(3),朋友、大学、采访、一起
张莘夫,朋友,朋友,68,2,2,1,1,李敖自传与回忆(2),爸爸、主席、朋友、委员、国民党、共产党
李锡恩,学术 / 政治人物,学术,68,2,2,1,1,李敖自传与回忆(2),爸爸、大学、委员
王民信,学术 / 同学同事,学术,68,2,2,1,1,李敖自传与回忆(2),老师、教授、研究、委员
蒋复璁,学术,学术,68,2,2,1,1,李敖自传与回忆(2),教授、授课、杂志
陈纳德,军事人物 / 神交引用,军事人物,68,2,2,1,1,李敖自传与回忆(2),离婚、书中、嫁给
陶百川,司法人员 / 政治人物,司法人员,68,2,2,1,1,李敖自传与回忆(2),市长、国民党、军法、学生
孙英善,同学同事,同学同事,67,2,2,1,1,李敖自传与回忆(2),大学、来信、读、作品
李济,学术,学术,67,2,2,1,1,李敖自传与回忆(2),写信、研究、院长、见、古人
王云五,出版 / 政治人物,出版,67,2,2,1,2,李敖自传与回忆(2),部长、写信、老师、研究
罗志希,出版 / 政治人物,出版,67,2,2,1,1,李敖自传与回忆(2),编辑、法院、委员、先生
陈鼓应,同学同事,同学同事,67,2,2,1,1,李敖自传与回忆(2),老师、一起
刘士豪,见面,见面,66,3,2,1,1,李敖自传与回忆(3),找他、见
陈果夫,政治人物 / 神交引用,政治人物,65,2,2,1,1,李敖自传与回忆(2),国民党、序、思想、主义、先生
陈士宽,同学同事,同学同事,63,2,2,1,1,李敖自传与回忆(2),老师、父亲、学生、同学、国民党
陈立峰,出版,出版,63,2,2,1,2,李敖自传与回忆(2),主编、文星、写信、送我、认识、太太、投稿、研究
李政一,同案狱友,同案狱友,62,2,2,1,2,李敖自传与回忆(2),见、同学、监狱、总统、读
赵元任,学术,学术,62,2,2,1,2,李敖自传与回忆(2),离婚、论文
于长庚,政治异议者,政治异议者,61,2,2,1,1,李敖自传与回忆(2),政府、国民党、共产党、法庭、判决、警总
黄季陆,师生,师生,60,1,1,1,1,李敖自传与回忆(1),见、老师、教授、主义
柴松林,感化人员,感化人员,59,2,2,1,2,李敖自传与回忆(2),国民党、读、少将
余又健,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、爸爸
朱景昌,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、朋友
杨肇南,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、男友、共产党、所谓、像
杨肖震,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、朋友、太太、嫁给、共产党
程东白,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、大学
翁硕柏,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师
许文葵,师生,师生,59,1,1,1,1,李敖自传与回忆(1),老师、爸爸
周道济,感化人员,感化人员,58,2,2,1,2,李敖自传与回忆(2),国民党
屠炳春,感化人员,感化人员,58,2,2,1,2,李敖自传与回忆(2),国民党
王洸,感化人员,感化人员,58,2,2,1,2,李敖自传与回忆(2),国民党
陶涤亚,感化人员,感化人员,58,2,2,1,2,李敖自传与回忆(2),国民党
项迺光,感化人员,感化人员,58,2,2,1,2,李敖自传与回忆(2),国民党
马可仕,政治人物,政治人物,57,1,1,1,1,李敖自传与回忆(1),记者、总统
李国龙,同案狱友,同案狱友,56,2,2,1,1,李敖自传与回忆(2),学生、大学、读、像
王曾才,同学同事 / 见面,同学同事,55,2,2,1,1,李敖自传与回忆(2),大学
顾翊群,学术 / 公共论战,学术,55,2,2,1,1,李敖自传与回忆(2),文星、批评
周克敏,姻亲,姻亲,55,1,1,1,1,李敖自传与回忆(1),妈妈、女儿、夫人、先生
张忠栋,见面,见面,55,1,1,1,1,李敖自传与回忆(1),见、见到、认识
林海音,通信 / 出版,通信,55,1,1,1,1,李敖自传与回忆(1),教授、助理、研究、委员
王孟仁,师生,师生,55,1,1,1,1,李敖自传与回忆(1),老师、学生、父亲、国民党
王文俊,姻亲,姻亲,55,1,1,1,1,李敖自传与回忆(1),老师、教书、嫁给
